StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q_RecaptchaScore,Q456,Q2,Q3,Q3_4_TEXT,Q223,Q224,Q5,Q23,Q7,Q8,Q16,Q17,Q211,Q32_Browser,Q32_Version,Q32_Operating System,Q32_Resolution,Q217_1,Q02-timing_First Click,Q02-timing_Last Click,Q02-timing_Page Submit,Q02-timing_Click Count,Q659_1,Q660_First Click,Q660_Last Click,Q660_Page Submit,Q660_Click Count
4/12/2020 21:21,4/12/2020 21:24,IP Address,73.53.14.236,100,162,TRUE,4/12/2020 21:24,R_1KdTlP3DU6z1TAu,,,,,47.62600708,-122.0404053,anonymous,EN,,"I consent, begin the study",1997,Man,,69,148,Single,No,College graduate,Moderate (3-4 Times per week),"Moderate (I hike or backpack a few times a year, for at least a mile at a time)",Yes,No,Chrome,80.0.3987.149,Macintosh,1440x900,,,,,,5,40.741,81.894,84.033,3
4/12/2020 16:29,4/12/2020 16:29,IP Address,73.202.141.223,4,15,FALSE,4/12/2020 21:38,R_00YobJUkq8eZCKZ,,,,,,,social,EN,,"I consent, begin the study",,,,,,,,,,,,,,,,,,,,,,,,,,
4/12/2020 21:36,4/12/2020 21:40,IP Address,162.204.5.178,100,222,TRUE,4/12/2020 21:40,R_3lVwpNBu8AZZalK,,,,,29.50419617,-98.56970215,anonymous,EN,,"I consent, begin the study",1983,Man,,67,158,Married,No,Graduate level (some or graduate),Minimal (1-2 Times per week),"Moderate (I hike or backpack a few times a year, for at least a mile at a time)",No,No,Chrome,80.0.3987.162,Android 9,360x780,8,2.618,108.744,110.005,35,,,,,
4/12/2020 18:44,4/12/2020 18:44,IP Address,72.179.182.141,4,14,FALSE,4/12/2020 22:44,R_DUVkLXnHHqxIomd,,,,,,,anonymous,EN,,"I consent, begin the study",,,,,,,,,,,,,,,,,,,,,,,,,,
4/12/2020 20:28,4/12/2020 20:35,IP Address,108.41.98.180,80,446,FALSE,4/13/2020 0:36,R_OwiTVw9bLmgHTqx,,,,,,,anonymous,EN,,"I consent, begin the study",1992,Man,,69,165,Married,No,College graduate,Extensive (More than 4 Times per week),"Extensive (I hike or backpack regularly, for at least a mile at a time)",Yes,Yes,Safari iPhone,13.1,iPhone,375x812,,,,,,,,,,
4/12/2020 23:20,4/12/2020 23:21,IP Address,42.111.152.114,4,21,FALSE,4/13/2020 3:21,R_4Zn26SeKK0htYZj,,,,,,,anonymous,EN,,"I consent, begin the study",,,,,,,,,,,,,,,,,,,,,,,,,,
4/13/2020 4:32,4/13/2020 4:35,IP Address,70.174.22.69,100,188,TRUE,4/13/2020 4:35,R_10I529jqED4Rkmd,,,,,36.85580444,-76.0042038,anonymous,EN,,"I consent, begin the study",1981,Man,,72,190,Married,Yes,College graduate,Moderate (3-4 Times per week),"Moderate (I hike or backpack a few times a year, for at least a mile at a time)",Yes,No,Safari iPhone,Unknown,iPhone,375x667,5,0.948,92.065,93.838,15,,,,,
4/13/2020 6:41,4/13/2020 6:47,IP Address,24.254.30.133,100,339,TRUE,4/13/2020 6:47,R_1pFMwyh40ylnIzg,,,,,37.25549316,-80.05310059,social,EN,,"I consent, begin the study",1997,Woman,,67,130,Single,No,College graduate,Extensive (More than 4 Times per week),"Moderate (I hike or backpack a few times a year, for at least a mile at a time)",Yes,No,Chrome,80.0.3987.162,Windows NT 10.0,1280x720,,,,,,3,73.469,89.71,96.858,6
4/13/2020 8:26,4/13/2020 8:29,IP Address,172.72.222.66,100,158,TRUE,4/13/2020 8:29,R_2QGMpX2gZQgfhhG,,,,,35.17959595,-80.84590149,social,EN,,"I consent, begin the study",1994,Man,,71,183,Single,No,College graduate,Extensive (More than 4 Times per week),"Moderate (I hike or backpack a few times a year, for at least a mile at a time)",No,No,Chrome,80.0.3987.122,Windows NT 10.0,1280x720,,,,,,2,61.568,81.065,83.188,2
4/13/2020 9:11,4/13/2020 9:15,IP Address,208.59.142.16,100,207,TRUE,4/13/2020 9:15,R_2v5NCdstnXQQ5cm,,,,,41.89720154,-87.61959839,anonymous,EN,,"I consent, begin the study",1979,Man,,74,185,Married,No,Graduate level (some or graduate),Minimal (1-2 Times per week),"Moderate (I hike or backpack a few times a year, for at least a mile at a time)",Yes,No,Firefox,68,Android 10,408x772,2,3.612,76.114,78.286,17,,,,,
4/13/2020 8:54,4/13/2020 9:16,IP Address,75.158.111.252,100,1337,TRUE,4/13/2020 9:16,R_3OoYjnHxOmJmR2I,,,,,51.04550171,-114.1987991,anonymous,EN,,"I consent, begin the study",1967,Woman,,69,229,Married,Yes,Graduate level (some or graduate),Extensive (More than 4 Times per week),"Moderate (I hike or backpack a few times a year, for at least a mile at a time)",No,No,Chrome,80.0.3987.163,Windows NT 6.1,1920x1080,,,,,,1.5,1233.957,1233.957,1234.863,1
4/13/2020 7:14,4/13/2020 7:14,IP Address,73.60.107.6,4,3,FALSE,4/13/2020 11:14,R_3ESEQQWbPkuhW3y,,,,,,,social,EN,,"I consent, begin the study",,,,,,,,,,,,,,,,,,,,,,,,,,
4/13/2020 12:15,4/13/2020 12:19,IP Address,76.214.111.202,100,244,TRUE,4/13/2020 12:19,R_vc4L0vadbqvTJLz,,,,,37.914505,-122.300705,anonymous,EN,,"I consent, begin the study",1987,Woman,,61,115,Married,Yes,Graduate level (some or graduate),Extensive (More than 4 Times per week),"Extensive (I hike or backpack regularly, for at least a mile at a time)",Yes,No,Chrome,80.0.3987.162,Windows NT 10.0,1366x768,,,,,,2,34.978,58.335,59.549,3
4/13/2020 9:55,4/13/2020 9:56,IP Address,104.2.80.16,4,69,FALSE,4/13/2020 13:56,R_1f2fQOa1gVbQ4uF,,,,,,,social,EN,,"I consent, begin the study",,,,,,,,,,,,,,,,,,,,,,,,,,
4/13/2020 16:07,4/13/2020 16:10,IP Address,73.71.128.166,100,188,TRUE,4/13/2020 16:10,R_3kkcBQxmDZoVPU3,,,,,37.89379883,-122.530304,anonymous,EN,,"I consent, begin the study",1978,Man,,75,185,Married,Yes,Graduate level (some or graduate),Moderate (3-4 Times per week),"Moderate (I hike or backpack a few times a year, for at least a mile at a time)",Yes,No,Chrome,81.0.4044.92,Windows NT 10.0,1920x1080,,,,,,3,36.666,81.893,86.716,3
4/13/2020 12:52,4/13/2020 12:53,IP Address,71.200.71.14,4,61,FALSE,4/13/2020 16:53,R_1kOHVfaVfyF52Fb,,,,,,,anonymous,EN,,"I consent, begin the study",,,,,,,,,,,,,,,,,,,,,,,,,,
4/13/2020 17:53,4/13/2020 17:56,IP Address,98.228.64.223,100,200,TRUE,4/13/2020 17:56,R_3IXmHJh2llDvM1O,,,,,41.70570374,-88.19460297,anonymous,EN,,"I consent, begin the study",1975,Woman,,62,135,Married,Yes,Graduate level (some or graduate),Moderate (3-4 Times per week),"Minimal (I've gone hiking or backpacking a few times, for at least a mile at a time)",Yes,No,Chrome,80.0.3987.163,Windows NT 10.0,1920x1080,,,,,,4,64.519,79.71,92.276,2
4/13/2020 18:09,4/13/2020 18:11,IP Address,67.11.234.88,100,159,TRUE,4/13/2020 18:11,R_22QxRFq3iUjBxeC,,,,,29.46139526,-98.74680328,anonymous,EN,,"I consent, begin the study",1988,Man,,75,220,Married,No,Graduate level (some or graduate),Moderate (3-4 Times per week),"Moderate (I hike or backpack a few times a year, for at least a mile at a time)",Yes,No,Safari iPhone,Unknown,iPhone,414x896,,,,,,4,1.422,92.025,92.772,21
4/13/2020 20:29,4/13/2020 20:35,IP Address,71.71.148.231,100,349,TRUE,4/13/2020 20:35,R_Op8bPfdheBVuwZH,,,,,35.19360352,-80.68650055,social,EN,,"I consent, begin the study",1975,Man,,72,171,Married,Yes,Graduate level (some or graduate),Moderate (3-4 Times per week),"Moderate (I hike or backpack a few times a year, for at least a mile at a time)",Yes,No,Chrome,75.0.3770.143,Android 10,412x869,3,11.987,212.055,213.735,26,,,,,
4/12/2020 21:56,4/13/2020 21:30,IP Address,54.240.199.105,100,84842,TRUE,4/13/2020 21:30,R_3rZIHFzS38TumwO,,,,,1.292892456,103.8547058,anonymous,EN,,"I consent, begin the study",1987,Man,,75,176,Single,No,Graduate level (some or graduate),Extensive (More than 4 Times per week),"Extensive (I hike or backpack regularly, for at least a mile at a time)",Yes,No,Safari,13.1,Macintosh,1440x900,,,,,,5.5,79.165,82.622,84.31,4
4/15/2020 5:40,4/15/2020 5:44,IP Address,97.89.113.126,100,240,TRUE,4/15/2020 5:44,R_1FCWYeseoLRFWJM,,,,,35.57589722,-81.17449951,anonymous,EN,,"I consent, begin the study",1983,Man,,74,225,Married,Yes,Graduate level (some or graduate),Moderate (3-4 Times per week),"Moderate (I hike or backpack a few times a year, for at least a mile at a time)",Yes,No,Safari iPhone,Unknown,iPhone,414x896,2,1.762,84.55,86.131,14,,,,,
4/15/2020 10:57,4/15/2020 11:01,IP Address,73.192.208.166,100,207,TRUE,4/15/2020 11:01,R_3EszxMWNiqdC1Mq,,,,,37.6566925,-121.4954987,anonymous,EN,,"I consent, begin the study",1990,Man,,71,160,Single,No,College graduate,Minimal (1-2 Times per week),"Extensive (I hike or backpack regularly, for at least a mile at a time)",Yes,No,Chrome,80.0.3987.163,Windows NT 10.0,1920x1080,,,,,,4,3.918,91.64,106.333,11
